int[] intmap = {
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,30 ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,30 ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,30 ,1  ,1  ,1  ,1  ,3  ,3  ,3  ,3  ,30 ,1  ,1  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,30 ,1  ,1  ,4  ,4  ,4  ,1  ,3  ,3  ,3  ,3  ,1  ,4  ,4  ,4  ,1  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,1  ,1  ,4  ,4  ,4  ,4  ,1  ,3  ,3  ,3  ,3  ,1  ,4  ,4  ,4  ,4  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,1  ,1  ,1  ,4  ,4  ,1  ,6  ,6  ,6  ,6  ,1  ,4  ,4  ,1  ,1  ,1  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,30 ,1  ,5  ,5  ,5  ,5  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,5  ,5  ,5  ,5  ,30 ,1  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4},
{4  ,4  ,4  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,4  ,4  ,4},
{4  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,4  ,4  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,4  ,4  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,4},
{4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,4  ,4  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,1  ,1  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4},
{4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4},
{4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4},
{4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4},
{4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4},
{4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4},
{4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4},
{4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,7  ,2  ,2  ,2  ,2  ,2  ,2  ,2  ,7  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4},
{4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,1  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,1  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4},
{4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4},
{4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,30 ,1  ,4  ,4  ,4  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4},
{4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,4  ,4  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,4  ,4  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4},
{4  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,4  ,4  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,4  ,4  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,4},
{4  ,4  ,4  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,4  ,4  ,4},
{4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,1  ,1  ,5  ,5  ,5  ,5  ,30 ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,5  ,5  ,5  ,5  ,1  ,1  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,4  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,1  ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,30 ,1  ,1  ,1  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,5  ,4  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0},
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,30 ,1  ,1  ,4  ,4  ,1  ,6  ,6  ,6  ,6  ,1  ,4  ,4  ,1  ,1  ,1  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,6  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,30 ,1  ,4  ,4  ,4  ,4  ,1  ,3  ,3  ,3  ,3  ,1  ,4  ,4  ,4  ,4  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,1  ,1  ,1  ,4  ,4  ,4  ,1  ,3  ,3  ,3  ,3  ,1  ,4  ,4  ,4  ,1  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,1  ,1  ,1  ,1  ,1  ,3  ,3  ,3  ,3  ,1  ,1  ,1  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,1  ,1  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,3  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}, 
{0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0}
}
